date,state,current,target
2017-02-10 09:42:56.339683,no job,44.2,71
2017-02-10 09:43:01.952014,no job,44.1,71
2017-02-10 09:43:07.615621,no job,44.1,71
2017-02-10 09:43:13.279391,no job,44.1,71
2017-02-10 09:43:18.894617,no job,44.1,71
2017-02-10 09:43:24.597816,no job,44,71
2017-02-10 09:43:30.227657,no job,44,71
2017-02-10 09:43:35.793854,no job,44,71
2017-02-10 09:43:41.583988,no job,43.9,71
2017-02-10 09:43:47.213757,no job,43.9,71
2017-02-10 09:43:52.845693,no job,43.9,71
2017-02-10 09:43:58.416946,no job,43.9,71
2017-02-10 09:44:04.055878,no job,43.9,71
